Title,Authors,Year,Abstract,DOI/URL,Filename,Source
Real time Smart Contracts for IoT using Blockchain and Collaborative Intelligence based Dynamic Pricing for the next generation Smart Toll Application,"Misha Abraham, Himajit Aithal, Krishnan Mohan",2020,"The confluence of Internet of Things(IoT) , Blockchain(BC) and Artificial Intelligence(AI) acts as a key accelerator for enabling Machine Economy. To be ready for future businesses these technologies needs to be adapted by extending the IoT capabilities to Economy of Things (EoT) capabilities. In this paper we focus on one such implementation experience for Smart Toll Transaction application in the domain of mobility. Our paper showcases a possible solution by leveraging negotiations, decision making, distributed learning capabilities at the devices level using AI-enabled Multi-Agent Systems and the real-time smart contracts between the Cars and Tolls using Blockchain. This solution also showcases the monetization of real time data coming from various IoT devices which are part of vehicles and infrastructure. While blockchain secures the privacy of the participants it also acts as an economic transactional layer and governance layer between the devices in the networ",https://arxiv.org/pdf/2002.12654v1,Real time Smart Contracts for IoT using Blockchain.pdf,ArXiv (Programmatic)
Sustainable and Precision Agriculture with the Internet of Everything (IoE),"Adil Z. Babar, Ozgur B. Akan",2024,"Agriculture faces critical challenges from population growth, resource scarcity, and climate change, driving a shift toward advanced, technology-integrated farming. Mechanization has transformed agriculture, enhancing sustainability and crop productivity. Now, technologies like artificial intelligence (AI), robotics, biotechnology, blockchain, and the Internet of Things (IoT) are advancing precision agriculture. The concept of the Internet of Everything (IoE) has gained traction due to its holistic approach to integrating various IoT specializations, called IoXs with X referring to a specific domain. This paper explores the transformative role of IoE in agriculture, expanding beyond traditional IoT applications to integrate niche subdomains like molecular communication (MC), the Internet of Nano Things (IoNT), the Internet of Bio-Nano Things (IoBNT), designer phages, and the Internet of Fungus (IoF). Our study provides a detailed review of how these IoE subdomains, in conjunction with 6G, blockchain, and machine learning (ML), can enhance precision farming in areas like crop monitoring, resource management, and disease control. Unlike prior IoT centric reviews, this work uniquely focuses on IoEs potential to advance agriculture at molecular and biological scales, achieving more precise resource utilization and resilience. Key contributions include an exploration of these technologies applicability, associated challenges, and recommendations for future research directions within precision agriculture.",https://arxiv.org/pdf/2404.06341v3,Sustainable and Precision Agriculture with the Int.pdf,ArXiv (Programmatic)
Scalable and Secure Architecture for Distributed IoT Systems,"Najmeddine Dhieb, Hakim Ghazzai, Hichem Besbes, Yehia Massoud",2020,"Internet-of-things (IoT) is perpetually revolutionizing our daily life and rapidly transforming physical objects into an ubiquitous connected ecosystem. Due to their massive deployment and moderate security levels, those devices face a lot of security, management, and control challenges. Their classical centralized architecture is still cloaking vulnerabilities and anomalies that can be exploited by hackers for spying, eavesdropping, and taking control of the network. In this paper, we propose to improve the IoT architecture with additional security features using Artificial Intelligence (AI) and blockchain technology. We propose a novel architecture based on permissioned blockchain technology in order to build a scalable and decentralized end-to-end secure IoT system. Furthermore, we enhance the IoT system security with an AI-component at the gateway level to detect and classify suspected activities, malware, and cyber-attacks using machine learning techniques. Simulations and practical implementation show that the proposed architecture delivers high performance against cyber-attacks.",https://arxiv.org/pdf/2005.02456v1,Scalable and Secure Architecture for Distributed I.pdf,ArXiv (Programmatic)
IDMoB: IoT Data Marketplace on Blockchain,"Kazım Rıfat Özyılmaz, Mehmet Doğan, Arda Yurdakul",2018,"Today, Internet of Things (IoT) devices are the powerhouse of data generation with their ever-increasing numbers and widespread penetration. Similarly, artificial intelligence (AI) and machine learning (ML) solutions are getting integrated to all kinds of services, making products significantly more ""smarter"". The centerpiece of these technologies is ""data"". IoT device vendors should be able keep up with the increased throughput and come up with new business models. On the other hand, AI/ML solutions will produce better results if training data is diverse and plentiful.   In this paper, we propose a blockchain-based, decentralized and trustless data marketplace where IoT device vendors and AI/ML solution providers may interact and collaborate. By facilitating a transparent data exchange platform, access to consented data will be democratized and the variety of services targeting end-users will increase. Proposed data marketplace is implemented as a smart contract on Ethereum blockchain and Swarm is used as the distributed storage platform.",https://arxiv.org/pdf/1810.00349v1,IDMoB IoT Data Marketplace on Blockchain.pdf,ArXiv (Programmatic)
Reliable Fleet Analytics for Edge IoT Solutions,"Emmanuel Raj, Magnus Westerlund, Leonardo Espinosa-Leal",2021,"In recent years we have witnessed a boom in Internet of Things (IoT) device deployments, which has resulted in big data and demand for low-latency communication. This shift in the demand for infrastructure is also enabling real-time decision making using artificial intelligence for IoT applications. Artificial Intelligence of Things (AIoT) is the combination of Artificial Intelligence (AI) technologies and the IoT infrastructure to provide robust and efficient operations and decision making. Edge computing is emerging to enable AIoT applications. Edge computing enables generating insights and making decisions at or near the data source, reducing the amount of data sent to the cloud or a central repository. In this paper, we propose a framework for facilitating machine learning at the edge for AIoT applications, to enable continuous delivery, deployment, and monitoring of machine learning models at the edge (Edge MLOps). The contribution is an architecture that includes services, tools, and methods for delivering fleet analytics at scale. We present a preliminary validation of the framework by performing experiments with IoT devices on a university campus's rooms. For the machine learning experiments, we forecast multivariate time series for predicting air quality in the respective rooms by using the models deployed in respective edge devices. By these experiments, we validate the proposed fleet analytics framework for efficiency and robustness.",https://arxiv.org/pdf/2101.04414v1,Reliable Fleet Analytics for Edge IoT Solutions.pdf,ArXiv (Programmatic)
Threats and Corrective Measures for IoT Security with Observance of Cybercrime: A Survey,"Sita Rani, Aman Kataria, Vishal Sharma, Smarajit Ghosh, Vinod Karar, Kyungroul Lee, Chang Choi",2020,"Internet of Things (IoT) is the utmost assuring framework to facilitate human life with quality and comfort. IoT has contributed significantly to numerous application areas. The stormy expansion of smart devices and their credence for data transfer using wireless mechanics boosts their susceptibility to cyber-attacks. Consequently, the rate of cybercrime is increasing day by day. Hence, the study of IoT security threats and possible corrective measures can benefit the researchers to identify appropriate solutions to deal with various challenges in cybercrime investigation. IoT forensics plays a vital role in cybercrime investigations. This review paper presents an overview of the IoT framework consisting of IoT architecture, protocols, and technologies. Various security issues at each layer and corrective measures are also discussed in detail. This paper also presents the role of IoT forensics in cybercrime investigation in various domains like smart homes, smart cities, automated vehicles, healthcare, etc. Along with the role of advanced technologies like Artificial Intelligence, Machine Learning, Cloud computing, Edge computing, Fog computing, and Blockchain technology in cybercrime investigation are also discussed. At last, various open research challenges in IoT to assist cybercrime investigation are explained, which provide a new direction for further research.",https://arxiv.org/pdf/2010.08793v4,Threats and Corrective Measures for IoT Security w.pdf,ArXiv (Programmatic)
Quality 4.0: Let's Get Digital - The many ways the fourth industrial revolution is reshaping the way we think about quality,Nicole M. Radziwill,2018,"The technology landscape is richer and more promising than ever before. In many ways, cloud computing, big data, virtual reality (VR), augmented reality (AR), blockchain, additive manufacturing, artificial intelligence (AI), machine learning (ML), Internet Protocol Version 6 (IPv6), cyber-physical systems and the Internet of Things (IoT) all represent new frontiers. These technologies can help improve product and service quality, and organizational performance. In many regions, the internet is now as ubiquitous as electricity. Components are relatively cheap. A robust ecosystem of open-source software libraries means that engineers can solve problems 100 times faster than just two decades ago. This digital transformation is leading us toward connected intelligent automation: smart, hyperconnected agents deployed in environments where humans and machines cooperate, and leverage data, to achieve shared goals. This is not the worlds first industrial revolution. In fact, it is its fourth, and the disruptive changes it will bring suggest we will need a fresh perspective on quality to adapt to it.",https://arxiv.org/pdf/1810.07829v1,Quality 40 Lets Get Digital - The many ways the fo.pdf,ArXiv (Programmatic)
An Overview of Data-Importance Aware Radio Resource Management for Edge Machine Learning,"Dingzhu Wen, Xiaoyang Li, Qunsong Zeng, Jinke Ren, Kaibin Huang",2019,"The 5G network connecting billions of Internet-of-Things (IoT) devices will make it possible to harvest an enormous amount of real-time mobile data. Furthermore, the 5G virtualization architecture will enable cloud computing at the (network) edge. The availability of both rich data and computation power at the edge has motivated Internet companies to deploy artificial intelligence (AI) there, creating the hot area of edge-AI. Edge learning, the theme of this project, concerns training edge-AI models, which endow on IoT devices intelligence for responding to real-time events. However, the transmission of high-dimensional data from many edge devices to servers can result in excessive communication latency, creating a bottleneck for edge learning. Traditional wireless techniques deigned for only radio access are ineffective in tackling the challenge. Attempts to overcome the communication bottleneck has led to the development of a new class of techniques for intelligent radio resource management (RRM), called data-importance aware RRM. Their designs feature the interplay of active machine learning and wireless communication. Specifically, the metrics that measure data importance in active learning (e.g., classification uncertainty and data diversity) are applied to RRM for efficient acquisition of distributed data in wireless networks to train AI models at servers. This article aims at providing an introduction to the emerging area of importance-aware RRM. To this end, we will introduce the design principles, survey recent advancements in the area, discuss some design examples, and suggest some promising research opportunities.",https://arxiv.org/pdf/1911.03878v2,An Overview of Data-Importance Aware Radio Resourc.pdf,ArXiv (Programmatic)
SmartOil: Blockchain and smart contract-based oil supply chain management,"AKM Bahalul Haque, Md. Rifat Hasan, Md. Oahiduzzaman Mondol Zihad",2021,"The traditional oil supply chain suffers from various shortcomings regarding crude oil extraction, processing, distribution, environmental pollution, and traceability. It offers an only a forward flow of products with almost no security and tracking process. In time, the system will lag behind due to the limitations in quality inspection, fraudulent information, and monopolistic behavior of supply chain entities. Inclusion of counterfeiting products and opaqueness of the system urge renovation in this sector. The recent evolution of Industry 4.0 leads to the alternation in the supply chain introducing the smart supply chain. Technological advancement can now reshape the infrastructure of the supply chain for the future. In this paper, we suggest a conceptual framework utilizing Blockchain and Smart Contract to monitor the overall oil supply chain. Blockchain is a groundbreaking technology to monitor and support the security building of a decentralized type supply chain over a peer-to-peer network. The use of the Internet of Things (IoT), especially sensors, opens broader window to track the global supply chain in real-time. We construct a methodology to support reverse traceability for each participant of the supply chain. The functions and characteristics of Blockchain and Smart Contract are defined. Implementation of Smart Contracts has also been shown with detailed analysis. We further describe the challenges of implementing such a system and validate our framework's adaptability in the real world. The paper concludes with future research scope to mitigate the restrictions of data management and maintenance with advanced working prototypes and agile systems achieving greater traceability and transparency.",https://arxiv.org/pdf/2105.05338v1,SmartOil Blockchain and smart contract-based oil s.pdf,ArXiv (Programmatic)
Malicious Code Detection in Smart Contracts via Opcode Vectorization,"Huanhuan Zou, Zongwei Li, Xiaoqi Li",2025,"With the booming development of blockchain technology, smart contracts have been widely used in finance, supply chain, Internet of things and other fields in recent years. However, the security problems of smart contracts become increasingly prominent. Security events caused by smart contracts occur frequently, and the existence of malicious codes may lead to the loss of user assets and system crash. In this paper, a simple study is carried out on malicious code detection of intelligent contracts based on machine learning. The main research work and achievements are as follows: Feature extraction and vectorization of smart contract are the first step to detect malicious code of smart contract by using machine learning method, and feature processing has an important impact on detection results. In this paper, an opcode vectorization method based on smart contract text is adopted. Based on considering the structural characteristics of contract opcodes, the opcodes are classified and simplified. Then, N-Gram (N=2) algorithm and TF-IDF algorithm are used to convert the simplified opcodes into vectors, and then put into the machine learning model for training. In contrast, N-Gram algorithm and TF-IDF algorithm are directly used to quantify opcodes and put into the machine learning model training. Judging which feature extraction method is better according to the training results. Finally, the classifier chain is applied to the intelligent contract malicious code detection.",https://arxiv.org/pdf/2504.12720v1,Malicious Code Detection in Smart Contracts via Op.pdf,ArXiv (Programmatic)
